room_index,room_dim,mic_region,z_slice,t60,source_position
0,"[7.28, 8.51, 4.09]","[[3.38, 4.38], [4.64, 5.64]]",3.35,0.4849839043252915,"[4.328125421727331, 2.1087580521239517, 2.7131021255635765]"
1,"[11.85, 10.33, 3.53]","[[4.79, 5.79], [5.4, 6.4]]",1.0,0.5452542780859271,"[4.46384758989368, 3.183400170528087, 2.982875947001621]"
2,"[11.58, 10.42, 3.62]","[[3.39, 4.39], [2.87, 3.87]]",2.54,0.546474060710903,"[6.263472695725194, 5.666532499253555, 1.1726798323349197]"
3,"[9.85, 11.69, 4.29]","[[7.89, 8.89], [3.82, 4.82]]",1.74,0.5603640887994857,"[5.4446821703927775, 7.911079917361051, 3.45766365757196]"
4,"[9.89, 6.24, 4.18]","[[1.43, 2.43], [3.72, 4.72]]",2.44,0.48700486239420604,"[5.839334441322847, 4.994702489668501, 2.425455850381941]"
5,"[11.08, 7.56, 3.04]","[[1.03, 2.03], [0.94, 1.94]]",1.74,0.4855431362706165,"[2.8738751358970847, 0.9853754002331987, 1.390519622286147]"
6,"[10.81, 6.5, 4.02]","[[1.43, 2.43], [1.48, 2.48]]",0.53,0.4972509269569654,"[2.714646071053775, 5.629819170475311, 2.0310500563228286]"
7,"[8.34, 10.23, 3.63]","[[0.66, 1.66], [5.61, 6.61]]",1.16,0.5076465604403629,"[1.1159440370591942, 7.767024244195626, 3.121563675835806]"
8,"[10.29, 8.01, 4.01]","[[7.48, 8.48], [2.26, 3.26]]",1.92,0.5149899885013817,"[1.6862237214568496, 5.426775378691592, 2.592290410141127]"
9,"[9.32, 9.18, 3.95]","[[1.75, 2.75], [4.19, 5.19]]",2.83,0.5175024791872379,"[6.517911130599328, 7.39374900624602, 1.9881609513803502]"
10,"[8.55, 7.6, 4.17]","[[4.92, 5.92], [3.69, 4.69]]",1.93,0.49255809811550766,"[1.1402908991911789, 6.307567417813186, 3.018824737904732]"
11,"[7.65, 11.95, 4.48]","[[2.04, 3.04], [6.19, 7.19]]",2.52,0.5391999121533387,"[1.3840695134981527, 3.9677303121214016, 2.611803021363181]"
12,"[9.6, 11.55, 3.13]","[[4.07, 5.07], [0.52, 1.52]]",1.08,0.5205033642516868,"[8.906707318813886, 7.359272584802627, 1.8099025256263472]"
13,"[11.94, 9.95, 3.16]","[[0.66, 1.66], [2.84, 3.84]]",1.14,0.5293737674409448,"[7.197939984012523, 6.265272974418959, 2.3037780105998635]"
14,"[9.69, 11.3, 3.19]","[[1.92, 2.92], [9.17, 10.17]]",1.52,0.5212301549337552,"[0.6907412047056893, 7.581464643440369, 1.5530715525051855]"
15,"[9.41, 10.59, 2.55]","[[2.93, 3.93], [8.03, 9.03]]",1.84,0.48530669863186127,"[0.8119552423272274, 4.418504735925111, 1.2257281128007238]"
16,"[11.35, 11.02, 3.96]","[[1.2, 2.2], [7.1, 8.1]]",3.38,0.5606668869123093,"[10.39830769017182, 4.266674387705795, 1.5557081264558184]"
17,"[9.79, 7.41, 3.73]","[[3.01, 4.01], [3.11, 4.11]]",2.23,0.4924005302136999,"[6.651675051535883, 6.79317443940977, 1.6812939590780764]"
18,"[11.75, 8.71, 3.51]","[[8.02, 9.02], [5.47, 6.47]]",1.35,0.524394415901123,"[0.6190716027408251, 4.010288945227199, 1.2983565430799247]"
19,"[8.66, 10.46, 4.12]","[[1.06, 2.06], [7.1, 8.1]]",3.36,0.5287061660712515,"[0.7517305468382403, 4.720567931524718, 1.2554499201328406]"
20,"[8.28, 9.98, 4.37]","[[2.04, 3.04], [7.7, 8.7]]",2.54,0.524987001911095,"[4.919517676797197, 8.31000816072666, 2.871551423836123]"
